band,model,mean,ci_lo,ci_hi
high,LSTM,0.5064774764083805,0.4983563519219342,0.5145042559909638
high,LogisticRegression,0.5037314789837148,0.49566239545469837,0.5117201328957124
high,RandomForest,0.5008906246776533,0.496588645817437,0.5052280725675852
high,XGBoost,0.5019573534990028,0.4973098634838998,0.5063763564333253
low,LSTM,0.4991645228410322,0.49187963117182665,0.5064349127265608
low,LogisticRegression,0.49411137768115876,0.4861724168348499,0.5017975769736167
low,RandomForest,0.5019592788523333,0.4975285674234006,0.5063156585677664
low,XGBoost,0.4998888323079961,0.49497883765169753,0.505009201113496
medium,LSTM,0.5044017388246879,0.49656286239190256,0.5123192902523536
medium,LogisticRegression,0.5019339804702181,0.493546276698404,0.5104342282215324
medium,RandomForest,0.5004670574893412,0.49584878241194164,0.504736411333664
medium,XGBoost,0.4995383526702689,0.4945227008366788,0.5047388445334077
