sector,model,auc_boot_mean,ci_lo,ci_hi,p_two_sided_vs_half,excludes_half,p_holm
Healthcare,LogisticRegression,0.5029594672345126,0.4939118458643642,0.5124845772682148,0.54,False,1.0
Healthcare,RandomForest,0.5028845787570081,0.49782664446214064,0.5082266984410163,0.277,False,1.0
Healthcare,XGBoost,0.4983276942535027,0.49261652514252446,0.5038722812640136,0.564,False,1.0
Healthcare,LSTM,0.5015518934226637,0.49336779892120297,0.5101249036201883,0.721,False,1.0
Industrials,LogisticRegression,0.5025135740782319,0.49129440332414465,0.513415629648572,0.67,False,1.0
Industrials,RandomForest,0.5011530027378763,0.49466031632824164,0.507715292776521,0.728,False,1.0
Industrials,XGBoost,0.5008315961616298,0.49371133116290566,0.5083701575464931,0.83,False,1.0
Industrials,LSTM,0.5073553284591623,0.4970469954605461,0.5180635209673332,0.18,False,1.0
Consumer Cyclical,LogisticRegression,0.5046842262462617,0.4948517223820561,0.5147435930891566,0.345,False,1.0
Consumer Cyclical,RandomForest,0.49918683582405643,0.49357154194397046,0.5049625349396836,0.779,False,1.0
Consumer Cyclical,XGBoost,0.5009185181652234,0.49438702792723777,0.5074441032068199,0.793,False,1.0
Consumer Cyclical,LSTM,0.5066878779541611,0.49645481913748135,0.5171229756006549,0.194,False,1.0
Technology,LogisticRegression,0.5073525963957618,0.49547443145055936,0.5196061857477545,0.221,False,1.0
Technology,RandomForest,0.49948802570874523,0.49317607961328,0.5056742135076342,0.871,False,1.0
Technology,XGBoost,0.5011457751502469,0.49367399289544883,0.5086306912722719,0.777,False,1.0
Technology,LSTM,0.5057060688000699,0.4945685918115838,0.5165755058950399,0.299,False,1.0
Financial Services,LogisticRegression,0.5042960812077862,0.4914617779877928,0.5167485374305866,0.516,False,1.0
Financial Services,RandomForest,0.5038500556226324,0.496185301556791,0.5110702644377365,0.317,False,1.0
Financial Services,XGBoost,0.5070854693018888,0.4979874013836403,0.5156523657078363,0.129,False,1.0
Financial Services,LSTM,0.5058731725269158,0.493936956599446,0.5178337847639135,0.349,False,1.0
Consumer Defensive,LogisticRegression,0.5013473831830948,0.4911503993770161,0.5109381948279557,0.796,False,1.0
Consumer Defensive,RandomForest,0.5047781609722684,0.49801470717811713,0.5118994793710964,0.165,False,1.0
Consumer Defensive,XGBoost,0.5049336421192575,0.4981051174105752,0.5121315282872861,0.164,False,1.0
Consumer Defensive,LSTM,0.5049310544197869,0.4944459961965389,0.5145077892148531,0.34,False,1.0
Utilities,LogisticRegression,0.49139883397052997,0.47765976426045686,0.5056193993035829,0.248,False,1.0
Utilities,RandomForest,0.5017429469306773,0.49201469612055165,0.5119181893654641,0.74,False,1.0
Utilities,XGBoost,0.496988125181359,0.486260725699713,0.5080427035932875,0.612,False,1.0
Utilities,LSTM,0.4930113212565377,0.47844649051967864,0.5085003356533806,0.37,False,1.0
Basic Materials,LogisticRegression,0.4987014837320339,0.4849252858911413,0.5122307096066456,0.863,False,1.0
Basic Materials,RandomForest,0.4983596755492877,0.48931789375802526,0.5069396876905059,0.723,False,1.0
Basic Materials,XGBoost,0.4979591685498413,0.48927030381671527,0.50635513181604,0.657,False,1.0
Basic Materials,LSTM,0.5049987835724128,0.4922258847491054,0.5184693981959029,0.457,False,1.0
Real Estate,LogisticRegression,0.4985463929683544,0.4857215564266565,0.5119787712738374,0.816,False,1.0
Real Estate,RandomForest,0.4946665380883835,0.4853427544020614,0.503822623682598,0.252,False,1.0
Real Estate,XGBoost,0.4932018944554153,0.4836078666143081,0.503389422620825,0.176,False,1.0
Real Estate,LSTM,0.505780150524487,0.49168241280306585,0.5198753347351812,0.433,False,1.0
Energy,LogisticRegression,0.4811857194927838,0.4634140673167139,0.4987673890839214,0.034,True,1.0
Energy,RandomForest,0.5001630047685107,0.4898274372391577,0.5108530248814188,0.984,False,1.0
Energy,XGBoost,0.49680196576973595,0.4854469141978203,0.5085110728247737,0.589,False,1.0
Energy,LSTM,0.49136038722864084,0.4739615552470608,0.5089277144617577,0.373,False,1.0
Communication Services,LogisticRegression,0.5041876095608082,0.492222891598992,0.5161592272832928,0.487,False,1.0
Communication Services,RandomForest,0.5065279616285213,0.4977971051192074,0.515923734180777,0.152,False,1.0
Communication Services,XGBoost,0.5078059521307009,0.4983527041035325,0.5171032219103583,0.1,False,1.0
Communication Services,LSTM,0.5085171753068785,0.4963660719130048,0.521127009607336,0.179,False,1.0
