model,Sector,seed,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,train_major,auc_fold_sd,n_folds,n
LSTM,Basic Materials,0,0.5133068853617629,0.5080560292298218,0.6308507737411895,0.5126862384081206,0.8236704212683351,0.0105616624380825,0.514845982961718,0.508647102204077,0.5119841011627249,0.0111494896141476,5,21921
LSTM,Basic Materials,1,0.49623128404387,0.5122242880841217,0.4667037554415703,0.4939499850940157,0.5630814710354353,0.0038956581098052,0.514845982961718,0.508647102204077,0.5119841011627249,0.0171726193920073,5,21921
LSTM,Basic Materials,2,0.5021155793603628,0.4965012117764352,0.6022091602010653,0.5073957915893146,0.7724693849324542,-0.0024312278803082,0.514845982961718,0.508647102204077,0.5119841011627249,0.0075787997890289,5,21921
LSTM,Basic Materials,3,0.4983691847711909,0.501486892753348,0.4742823071522933,0.4069143820577484,0.5896524871979997,0.0084186756768638,0.514845982961718,0.508647102204077,0.5119841011627249,0.0133983624686776,5,21921
LSTM,Basic Materials,4,0.5043091704978935,0.503320252546997,0.5838505421844673,0.5087736458461682,0.6940261492328256,0.0032637461812899,0.514845982961718,0.508647102204077,0.5119841011627249,0.0145277215714988,5,21921
LSTM,Communication Services,0,0.5059608636546331,0.5051220895799491,0.6056377785749201,0.514854973682635,0.761429291862043,0.010345253198604,0.5190457190538714,0.5112677077021791,0.5141718758039048,0.0074626424011104,5,23089
LSTM,Communication Services,1,0.5057135314756721,0.5075796384593964,0.5845690351022363,0.5168401540311642,0.7211215000622802,0.0146897597050159,0.5190457190538714,0.5112677077021791,0.5141718758039048,0.0032135993498614,5,23089
LSTM,Communication Services,2,0.504195377822936,0.5060872114913663,0.5707374710158397,0.5147798765016713,0.6656919663384698,0.0079608218109848,0.5190457190538714,0.5112677077021791,0.5141718758039048,0.0033707111275735,5,23089
LSTM,Communication Services,3,0.5057803607305884,0.5091364139578676,0.5531804835224124,0.5160863467740529,0.6254122663659659,0.0156995759616595,0.5190457190538714,0.5112677077021791,0.5141718758039048,0.0050160367036291,5,23089
LSTM,Communication Services,4,0.5056753813002915,0.5084681521647889,0.5847190978211468,0.5162904165265412,0.7044381660302284,0.0144682585122441,0.5190457190538714,0.5112677077021791,0.5141718758039048,0.0050374632086076,5,23089
LSTM,Consumer Cyclical,0,0.5110439346163786,0.5087178122185966,0.6316809920852866,0.5126482461841351,0.8254551919697034,0.0111481833067842,0.5099243958279593,0.5099243958279593,0.5110702198610423,0.0074259121008304,5,61460
LSTM,Consumer Cyclical,1,0.5090586473021808,0.5051425289904407,0.6190212610680726,0.5122110308674654,0.7855319952262726,0.0112958042062623,0.5099243958279593,0.5099243958279593,0.5110702198610423,0.0063235435314728,5,61460
LSTM,Consumer Cyclical,2,0.5101517523651811,0.5044057126928136,0.6259832719508923,0.512509694799716,0.807345451912617,0.0114653415703405,0.5099243958279593,0.5099243958279593,0.5110702198610423,0.007638857138394,5,61460
LSTM,Consumer Cyclical,3,0.5069087130683942,0.505712923609536,0.6118653948901883,0.5115161065198663,0.7678258339562278,0.0065586807140654,0.5099243958279593,0.5099243958279593,0.5110702198610423,0.0087450615434496,5,61460
LSTM,Consumer Cyclical,4,0.5094537316274702,0.5087174121767681,0.6107090047116764,0.5127252767425021,0.7608030993948139,0.0110346802890334,0.5099243958279593,0.5099243958279593,0.5110702198610423,0.0053818738260336,5,61460
LSTM,Consumer Defensive,0,0.5132796608150318,0.50319722388665,0.6488215426696058,0.5140296135189343,0.8819377147523493,0.0130929215536192,0.5125252854577058,0.5119408008668451,0.5227580722423386,0.0060150133761996,5,38122
LSTM,Consumer Defensive,1,0.5050658410389584,0.5063898854226715,0.6071146406025192,0.5132294698945645,0.7748375915496948,0.0074409996149575,0.5125252854577058,0.5119408008668451,0.5227580722423386,0.00501795913709,5,38122
LSTM,Consumer Defensive,2,0.5127774733217818,0.5056122483642819,0.6259539885899871,0.5154982361602983,0.7987923886653828,0.013428219578109,0.5125252854577058,0.5119408008668451,0.5227580722423386,0.0090871776998193,5,38122
LSTM,Consumer Defensive,3,0.5115082513618371,0.5012005556914988,0.6425146173576449,0.5139982340673638,0.8586033486622325,0.0096053588815228,0.5125252854577058,0.5119408008668451,0.5227580722423386,0.0075105575348294,5,38122
LSTM,Consumer Defensive,4,0.5119004193574436,0.5063235989829848,0.6232968259012136,0.5146699888125624,0.7920574569894988,0.011434024158637,0.5125252854577058,0.5119408008668451,0.5227580722423386,0.0036562051337568,5,38122
LSTM,Energy,0,0.5060028553074808,0.4973525681535154,0.584592575277884,0.5250285118005504,0.7107705664406857,0.0001742607058432,0.5253157689907955,0.5126782657930468,0.5137528732023127,0.0140938205605803,5,21149
LSTM,Energy,1,0.5041939706343216,0.4942149446320389,0.5020268809142335,0.4180634630991637,0.6493278744967721,-0.0076496282927923,0.5253157689907955,0.5126782657930468,0.5137528732023127,0.0075471379820243,5,21149
LSTM,Energy,2,0.5126566702228663,0.4978996436081809,0.6131593847086092,0.5246108509589639,0.7595199529960805,-0.0067416523787341,0.5253157689907955,0.5126782657930468,0.5137528732023127,0.0232555540545629,5,21149
LSTM,Energy,3,0.5038123444007667,0.494191451517724,0.5020036639380492,0.4191110289973262,0.6481323357664552,-0.0010117152367007,0.5253157689907955,0.5126782657930468,0.5137528732023127,0.0265825390622716,5,21149
LSTM,Energy,4,0.5044137822993431,0.4973069605907754,0.499862675528341,0.6184281112949489,0.6565125302490914,0.002777802726246,0.5253157689907955,0.5126782657930468,0.5137528732023127,0.0074313077840312,5,21149
LSTM,Financial Services,0,0.5208890767448698,0.5017556268117211,0.6497034564650571,0.5274916526557181,0.8468109983896295,0.0036093758389121,0.5299162164253748,0.526756377837043,0.5170711130754162,0.0042411717372692,5,70008
LSTM,Financial Services,1,0.5119973471351625,0.5068607787576294,0.619566338333388,0.5261600994665555,0.7587062092488058,-0.0026461703242978,0.5299162164253748,0.526756377837043,0.5170711130754162,0.0137235843027144,5,70008
LSTM,Financial Services,2,0.5167618955305852,0.500810883957851,0.6282849809481676,0.5261742798662363,0.7885973182638322,-0.0035035509717621,0.5299162164253748,0.526756377837043,0.5170711130754162,0.0106221248040242,5,70008
LSTM,Financial Services,3,0.5109830139580721,0.5076020752915543,0.6005390922834676,0.5292120988233056,0.7224288831532115,0.0056513440931666,0.5299162164253748,0.526756377837043,0.5170711130754162,0.0139125588553263,5,70008
LSTM,Financial Services,4,0.5171804665907345,0.5097418427849174,0.6205402751133207,0.5304170314647928,0.7525517220939358,0.0106141163822687,0.5299162164253748,0.526756377837043,0.5170711130754162,0.0033587132041782,5,70008
LSTM,Healthcare,0,0.5072562348068292,0.4998121134566357,0.622005906833746,0.5137505580124275,0.7918154760779692,0.0002671144666592,0.513788202465688,0.513788202465688,0.5142301914720229,0.0054752425154681,5,62173
LSTM,Healthcare,1,0.5074867249373901,0.5007265117732678,0.5968128253336594,0.5145470262519114,0.7206517431022077,-0.0003769305747902,0.513788202465688,0.513788202465688,0.5142301914720229,0.0089738113765051,5,62173
LSTM,Healthcare,2,0.5112560440518008,0.4981246918763106,0.6422822295628885,0.5148039502074584,0.859797893282626,0.0034068773751923,0.513788202465688,0.513788202465688,0.5142301914720229,0.0071865568646526,5,62173
LSTM,Healthcare,3,0.5024370219786072,0.5009633965761736,0.5920113933240818,0.511340833098193,0.7450754991498946,-0.002695471262821,0.513788202465688,0.513788202465688,0.5142301914720229,0.0109255932112854,5,62173
LSTM,Healthcare,4,0.5046699483916952,0.507357730661553,0.5830708404216121,0.5134111832092685,0.704057954339295,0.0034638653434468,0.513788202465688,0.513788202465688,0.5142301914720229,0.013831490313812,5,62173
LSTM,Industrials,0,0.5178691040942501,0.50670263372282,0.6520004180662309,0.5216073871015577,0.8713352297232262,0.0071003927700945,0.5205208234326435,0.5205208234326435,0.518269254795634,0.0068942299472927,5,68913
LSTM,Industrials,1,0.5172725976577072,0.5086507763155181,0.6416988584767085,0.5230811504937257,0.8321484440561641,0.0097723881138363,0.5205208234326435,0.5205208234326435,0.518269254795634,0.0057271601643498,5,68913
LSTM,Industrials,2,0.5184885667808287,0.5026620299903788,0.6652233782835426,0.5211822165266776,0.9213965180124,0.0076145986367645,0.5205208234326435,0.5205208234326435,0.518269254795634,0.0069332484749337,5,68913
LSTM,Industrials,3,0.517955269367176,0.5071325169994889,0.6556368384117578,0.5217385249892426,0.8828291746505247,0.0050994477935372,0.5205208234326435,0.5205208234326435,0.518269254795634,0.0081849266629102,5,68913
LSTM,Industrials,4,0.5149607278304517,0.5071432420535485,0.6388078671076585,0.5212086164125201,0.8334419892860156,0.0044278626877276,0.5205208234326435,0.5205208234326435,0.518269254795634,0.0104158904871342,5,68913
LSTM,Real Estate,0,0.4951278917761357,0.505239921413233,0.5755558679856497,0.5122660709096986,0.7510486537947587,-0.0017374278885578,0.5235595665610357,0.4943335642819938,0.5124628951268358,0.015409350889372,5,28908
LSTM,Real Estate,1,0.4903366298272819,0.5028425512561332,0.5094627405900983,0.5709173953747729,0.6938305246240775,0.0004829536194079,0.5235595665610357,0.4943335642819938,0.5124628951268358,0.010380743160335,5,28908
LSTM,Real Estate,2,0.4950679026833217,0.5010717415014403,0.5675076144533644,0.5119751563175458,0.7265912872426091,-0.0033235910552358,0.5235595665610357,0.4943335642819938,0.5124628951268358,0.0130146207365297,5,28908
LSTM,Real Estate,3,0.4942324667715624,0.5123115356676975,0.5799994634898696,0.5090656034205789,0.7706856581206335,-0.0067870967997764,0.5235595665610357,0.4943335642819938,0.5124628951268358,0.0083906432015033,5,28908
LSTM,Real Estate,4,0.4942572884615964,0.5044899450047036,0.5297634070441088,0.5113691949398872,0.6792240003811634,0.0018475978817166,0.5235595665610357,0.4943335642819938,0.5124628951268358,0.0129179988281093,5,28908
