sector,model_a,model_b,n_pairs,b,c,p,p_holm,significant_holm
Technology,LogisticRegression,RandomForest,74119,12222,11229,9.303784168959774e-11,6.140497551513451e-09,True
Technology,LSTM,RandomForest,74119,11969,11062,2.3730418868079103e-09,1.5424772264251416e-07,True
Industrials,LSTM,XGBoost,68913,10269,9454,6.786374640211541e-09,4.343279769735386e-07,True
Industrials,LSTM,RandomForest,68913,12991,12192,4.940121601201487e-07,3.112276608756937e-05,True
Industrials,LogisticRegression,XGBoost,68913,9765,9155,9.533987551703375e-06,0.0005911072282056093,True
Technology,RandomForest,XGBoost,74119,9043,9568,0.00012252473109844849,0.007474008597005357,True
Industrials,LogisticRegression,RandomForest,68913,12667,12073,0.0001631709339083431,0.009790256034500585,True
Technology,LogisticRegression,XGBoost,74119,8535,8067,0.00028962787424305776,0.017088044580340408,True
Financial Services,LogisticRegression,RandomForest,70008,13014,12453,0.00044957953616142345,0.02607561309736256,True
Consumer Cyclical,LSTM,RandomForest,61460,12183,11648,0.0005418713538950877,0.03088666717202,True
Utilities,LSTM,LogisticRegression,29726,3794,4101,0.0005734747351691189,0.032114585169470654,True
Basic Materials,LSTM,LogisticRegression,21921,2671,2433,0.0009087142740712535,0.04997928507391894,True
Financial Services,LSTM,RandomForest,70008,12909,12394,0.001232290718177807,0.06654369878160157,False
Healthcare,LogisticRegression,XGBoost,62173,11412,10961,0.0026253848789645454,0.1391453985851209,False
Technology,LSTM,XGBoost,74119,8458,8076,0.003046271453989705,0.15840611560746465,False
Consumer Cyclical,LogisticRegression,RandomForest,61460,12670,12206,0.0033294798811692164,0.16980347393963002,False
Energy,LSTM,LogisticRegression,21149,1769,1612,0.007299014432684094,0.36495072163420467,False
Consumer Cyclical,LSTM,XGBoost,61460,9652,9302,0.011245290009238542,0.5510192104526885,False
Utilities,LogisticRegression,XGBoost,29726,5467,5215,0.015159244613747812,0.727643741459895,False
Basic Materials,LSTM,RandomForest,21921,4478,4253,0.01651797780315166,0.776344956748128,False
Industrials,LSTM,LogisticRegression,68913,4467,4262,0.029000960160587973,1.0,False
Consumer Defensive,LSTM,XGBoost,38122,5807,5574,0.029653198648901476,1.0,False
Basic Materials,LSTM,XGBoost,21921,4270,4071,0.030159882294705998,1.0,False
Energy,LSTM,XGBoost,21149,4284,4095,0.03999340247891176,1.0,False
Financial Services,RandomForest,XGBoost,70008,9017,9293,0.04212296092488656,1.0,False
Financial Services,LogisticRegression,XGBoost,70008,10201,9916,0.04524871742257602,1.0,False
Consumer Cyclical,LogisticRegression,XGBoost,61460,10215,9936,0.05018568874992452,1.0,False
Communication Services,LSTM,XGBoost,23089,4576,4756,0.06388832351580466,1.0,False
Real Estate,RandomForest,XGBoost,28908,3788,3632,0.07195410048690014,1.0,False
Healthcare,LSTM,XGBoost,62173,10884,10621,0.07399934176881036,1.0,False
Consumer Defensive,LogisticRegression,XGBoost,38122,5977,5783,0.07512047571936396,1.0,False
Healthcare,LogisticRegression,RandomForest,62173,12804,12526,0.08177959445938597,1.0,False
Communication Services,LSTM,LogisticRegression,23089,2464,2588,0.08353967467769155,1.0,False
Healthcare,LSTM,LogisticRegression,62173,5755,5943,0.08381564708993333,1.0,False
Energy,RandomForest,XGBoost,21149,2692,2567,0.08728481250918001,1.0,False
Consumer Defensive,LSTM,RandomForest,38122,6736,6539,0.08891762056325686,1.0,False
Financial Services,LSTM,XGBoost,70008,10257,10018,0.09463044472880658,1.0,False
Utilities,LogisticRegression,RandomForest,29726,5828,5665,0.13075844934565475,1.0,False
Consumer Cyclical,RandomForest,XGBoost,61460,8907,9092,0.17022128560285327,1.0,False
Consumer Defensive,LogisticRegression,RandomForest,38122,6848,6690,0.17722678300354294,1.0,False
Utilities,LSTM,RandomForest,29726,5549,5693,0.17743445371127894,1.0,False
Real Estate,LSTM,XGBoost,28908,4932,4803,0.19452636765330328,1.0,False
Healthcare,RandomForest,XGBoost,62173,9362,9189,0.2066503919459416,1.0,False
Communication Services,RandomForest,XGBoost,23089,2954,3049,0.22504131943460942,1.0,False
Real Estate,LogisticRegression,XGBoost,28908,5105,4996,0.282559688386382,1.0,False
Utilities,RandomForest,XGBoost,29726,3846,3757,0.31286431411523347,1.0,False
Energy,LogisticRegression,RandomForest,21149,4233,4326,0.32001123270494714,1.0,False
Technology,LSTM,LogisticRegression,74119,3935,4021,0.3406138214650797,1.0,False
Communication Services,LSTM,RandomForest,23089,4544,4629,0.38046031832833005,1.0,False
Consumer Cyclical,LSTM,LogisticRegression,61460,5189,5118,0.4905110387904851,1.0,False
Energy,LSTM,RandomForest,21149,4355,4291,0.4980653848067714,1.0,False
Communication Services,LogisticRegression,XGBoost,23089,4589,4645,0.567079466347238,1.0,False
Healthcare,LSTM,RandomForest,62173,12411,12321,0.5714434298739801,1.0,False
Consumer Defensive,LSTM,LogisticRegression,38122,2308,2269,0.5743303789559131,1.0,False
Utilities,LSTM,XGBoost,29726,4875,4930,0.5855174471252604,1.0,False
Financial Services,LSTM,LogisticRegression,70008,5205,5251,0.6598805651545299,1.0,False
Real Estate,LogisticRegression,RandomForest,28908,5533,5580,0.6625775663998097,1.0,False
Basic Materials,LogisticRegression,XGBoost,21921,4512,4551,0.6897749131515812,1.0,False
Communication Services,LogisticRegression,RandomForest,23089,4714,4675,0.6949329031270158,1.0,False
Consumer Defensive,RandomForest,XGBoost,38122,5295,5259,0.733336900790591,1.0,False
Energy,LogisticRegression,XGBoost,21149,4177,4145,0.7339927321664055,1.0,False
Basic Materials,RandomForest,XGBoost,21921,2972,2998,0.7462722945187463,1.0,False
Real Estate,LSTM,LogisticRegression,28908,2353,2333,0.7813523100762716,1.0,False
Real Estate,LSTM,RandomForest,28908,5308,5335,0.8010227747365737,1.0,False
Basic Materials,LogisticRegression,RandomForest,21921,4669,4682,0.9012405243515152,1.0,False
Industrials,RandomForest,XGBoost,68913,9474,9458,0.9131892486543225,1.0,False
