model,Sector,fold,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
LogisticRegression,Healthcare,1,0.5111050675369413,0.4928779437393961,0.6051109321227209,0.5275791624106231,0.7093562231759657,-0.0014986170253184887,0.5280572930831293,0.5280572930831293,11031.0,,,,,,,,,,1
RandomForest,Healthcare,1,0.5060284652343396,0.5026628238463707,0.54443608393947,0.530638852672751,0.5589699570815451,0.005789796767819692,0.5280572930831293,0.5280572930831293,11031.0,,,,,,,,,,1
XGBoost,Healthcare,1,0.49732571842987944,0.4976754949307419,0.5204531695926663,0.5243987452073894,0.5165665236051502,-0.007630498395999162,0.5280572930831293,0.5280572930831293,11031.0,,,,,,,,,,1
LSTM,Healthcare,1,0.5000815882512918,0.4876174931863037,0.5535822922267333,0.5201748048269177,0.6370128755364807,-0.018781296039053104,0.5280572930831293,0.5280572930831293,11031.0,0.016613817270360872,0.0021802087528226457,0.1166992923765585,0.005323429813889934,0.2554901441609392,0.004913101267491989,0.0,0.0,0.0,5
LogisticRegression,Healthcare,2,0.5023664122137405,0.49893993326560687,0.6253232944422094,0.502447584741849,0.8277541083384053,0.0033531927192324232,0.5016793893129771,0.5016793893129771,13100.0,,,,,,,,,,1
RandomForest,Healthcare,2,0.4986259541984733,0.5001372196588617,0.5660103079159509,0.5002335902826442,0.6517041996348144,-0.0039718765390255265,0.5016793893129771,0.5016793893129771,13100.0,,,,,,,,,,1
XGBoost,Healthcare,2,0.4993893129770992,0.49759008993889703,0.583248601931876,0.5007638585770406,0.6982653682288497,-0.0027939611931882217,0.5016793893129771,0.5016793893129771,13100.0,,,,,,,,,,1
LSTM,Healthcare,2,0.49992366412213735,0.4989458793731279,0.6348802168917274,0.5008458719509308,0.8699026171637249,-0.002269620972396256,0.5016793893129771,0.5016793893129771,13100.0,0.002666843903750128,0.00213425840981916,0.020701911388024068,0.0013921390171701715,0.07422205587485094,0.010008830896912568,0.0,0.0,0.0,5
LogisticRegression,Healthcare,3,0.5087291301364641,0.5068719031533496,0.6440172356645675,0.5113157894736842,0.869740376007162,0.0019370645946184361,0.5109400015247388,0.5109400015247388,13117.0,,,,,,,,,,1
RandomForest,Healthcare,3,0.5043836243043379,0.5043816331510027,0.5505081933208877,0.5129493621955934,0.5940017905102954,0.00483871932980789,0.5109400015247388,0.5109400015247388,13117.0,,,,,,,,,,1
XGBoost,Healthcare,3,0.5056034154151101,0.5026174292617017,0.5698175787728027,0.5129583184043951,0.6408534765741569,0.00536403415097209,0.5109400015247388,0.5109400015247388,13117.0,,,,,,,,,,1
LSTM,Healthcare,3,0.508515666692079,0.5045160121349055,0.6022138094340075,0.5135126812336772,0.7299313637720084,0.0077558403686771235,0.5109400015247388,0.5109400015247388,13117.0,0.004839214737277077,0.007905081372186928,0.016996782527874312,0.0037997129278887734,0.052794125415694795,0.01171600534533042,0.0,0.0,0.0,5
LogisticRegression,Healthcare,4,0.5013552234182607,0.505845477874,0.6277819527140297,0.5041314641166094,0.8318014705882353,-0.006304259026394811,0.5055370556803221,0.5055370556803221,12913.0,,,,,,,,,,1
RandomForest,Healthcare,4,0.5070084411058623,0.5039502265765351,0.5489584809409097,0.5106775639335618,0.5934436274509803,0.012269525255476794,0.5055370556803221,0.5055370556803221,12913.0,,,,,,,,,,1
XGBoost,Healthcare,4,0.49934174862541625,0.4972692177399542,0.5652612467218076,0.5037756202804746,0.6438419117647058,-0.004760212816290208,0.5055370556803221,0.5055370556803221,12913.0,,,,,,,,,,1
LSTM,Healthcare,4,0.5064198869356462,0.5051721636187756,0.6053247880941014,0.5082338649089182,0.7630514705882353,0.008177069738987519,0.5055370556803221,0.5055370556803221,12913.0,0.0034821056599315136,0.004542365887407251,0.05072700250167959,0.0031430987093949503,0.13920660571360952,0.009889979466527823,0.0,0.0,0.0,5
LogisticRegression,Healthcare,5,0.5198967698967699,0.5102053594989231,0.6359906583349113,0.52676704307821,0.8023570632266285,0.015986370190347574,0.5227272727272727,0.5227272727272727,12012.0,,,,,,,,,,1
RandomForest,Healthcare,5,0.5041625041625042,0.5031457317308112,0.5540581012279125,0.5228204041260421,0.589265806657111,0.0002232833072310428,0.5227272727272727,0.5227272727272727,12012.0,,,,,,,,,,1
XGBoost,Healthcare,5,0.5038295038295039,0.4961801660320533,0.5785007072135785,0.5202900394351864,0.6513776078993471,-0.006714887553291412,0.5227272727272727,0.5227272727272727,12012.0,,,,,,,,,,1
LSTM,Healthcare,5,0.5181651681651681,0.5107328960308279,0.6401820888294184,0.5250863278588149,0.8215002388915433,0.009183462251471815,0.5227272727272727,0.5227272727272727,12012.0,0.0035968467987044714,0.007639271970759413,0.014032669887073147,0.002796747138214519,0.0488842382105949,0.011512826954023003,0.0,0.0,0.0,5
LogisticRegression,Industrials,1,0.5219708148876865,0.5119251328796431,0.6149884450313635,0.539379198517489,0.7152511135002304,0.017482120706175785,0.5337760288571897,0.5337760288571897,12198.0,,,,,,,,,,1
RandomForest,Industrials,1,0.5127889818002951,0.5109697222298215,0.5643281284363316,0.5398316970546985,0.5911534326524344,0.014398315983480663,0.5337760288571897,0.5337760288571897,12198.0,,,,,,,,,,1
XGBoost,Industrials,1,0.514674536809313,0.5130388694173178,0.5739167986181085,0.5400243803331979,0.6123483335893104,0.015509825326237776,0.5337760288571897,0.5337760288571897,12198.0,,,,,,,,,,1
LSTM,Industrials,1,0.5330382029840958,0.5067727615305335,0.6769693980807131,0.5366432521323443,0.9202580248809706,0.018384842406878564,0.5337760288571897,0.5337760288571897,12198.0,0.0023922342123979252,0.0020534652823578276,0.019600564380499834,0.0024105927266032294,0.07565968962210017,0.00894155299886206,0.0,0.0,0.0,5
LogisticRegression,Industrials,2,0.49429401039908166,0.49010124494503055,0.6210979003288641,0.49853801169590645,0.823560982154837,-0.021037779898451403,0.5032750354514147,0.5032750354514147,14809.0,,,,,,,,,,1
RandomForest,Industrials,2,0.4928084273077183,0.48532218432902746,0.5647058823529412,0.4970414201183432,0.6536964980544747,-0.017444071766379188,0.5032750354514147,0.5032750354514147,14809.0,,,,,,,,,,1
XGBoost,Industrials,2,0.4899047876291444,0.48410659126356237,0.5785068630733177,0.49517623459738275,0.6955588353683081,-0.025157516566937033,0.5032750354514147,0.5032750354514147,14809.0,,,,,,,,,,1
LSTM,Industrials,2,0.503329056654737,0.4960880462644754,0.6387161617807278,0.5037471600877076,0.8743861532268886,0.004298441252172545,0.5032750354514147,0.5032750354514147,14809.0,0.0020913602629805544,0.003270415365828741,0.01591196018455659,0.0010075281449595632,0.05937289120478192,0.00832354953963046,0.0,0.0,0.0,5
LogisticRegression,Industrials,3,0.5157719977863863,0.5069058634874475,0.6543892564431717,0.5204177791738652,0.88125,0.0011896224838733524,0.5201992252351965,0.5201992252351965,14456.0,,,,,,,,,,1
RandomForest,Industrials,3,0.5049806308799114,0.5031170339302805,0.5663030303030303,0.5202672605790646,0.6212765957446809,0.0001743916592494584,0.5201992252351965,0.5201992252351965,14456.0,,,,,,,,,,1
XGBoost,Industrials,3,0.5061566131710017,0.4990132234840119,0.5920804525455688,0.5190862639014127,0.6889627659574468,-0.003327018849759637,0.5201992252351965,0.5201992252351965,14456.0,,,,,,,,,,1
LSTM,Industrials,3,0.5175290536801328,0.515652454661464,0.6401175114370603,0.5229742076439743,0.8259574468085106,0.01196075626052841,0.5201992252351965,0.5201992252351965,14456.0,0.0018423275237857788,0.0035578762250175417,0.012599546715303148,0.000812784760176748,0.04129951792790576,0.0032849665213708873,0.0,0.0,0.0,5
LogisticRegression,Industrials,4,0.5219319862000986,0.49589120223341937,0.6659122220035426,0.5260825623882454,0.9069829781530626,0.004783712707386114,0.525311553897064,0.525311553897064,14203.0,,,,,,,,,,1
RandomForest,Industrials,4,0.5028515102443146,0.4975981004516276,0.5656640216522113,0.522737608003638,0.6162712773086717,-0.006574322917424185,0.525311553897064,0.525311553897064,14203.0,,,,,,,,,,1
XGBoost,Industrials,4,0.5044708864324439,0.49836522606170697,0.5993852459016393,0.5209260908281389,0.7056694813027744,-0.013795384512743897,0.525311553897064,0.525311553897064,14203.0,,,,,,,,,,1
LSTM,Industrials,4,0.5174540590016193,0.5030957836281145,0.6449627843898169,0.525323138400055,0.842889693070634,3.601440189079097e-05,0.525311553897064,0.525311553897064,14203.0,0.007480229920340664,0.0025562064467002325,0.035832417039564704,0.002903536887841863,0.1125113203058799,0.010901673160755401,0.0,0.0,0.0,5
LogisticRegression,Industrials,5,0.5177021212349966,0.5080431254041357,0.6630807361704372,0.5207056485009111,0.9126143126723762,0.004260050206859693,0.5200422737223522,0.5200422737223522,13247.0,,,,,,,,,,1
RandomForest,Industrials,5,0.5152109911678115,0.5086347771161734,0.5804807943558924,0.5277348853783109,0.644941210625635,0.020332913580962366,0.5200422737223522,0.5200422737223522,13247.0,,,,,,,,,,1
XGBoost,Industrials,5,0.5124933947308825,0.5095967690786872,0.6156409951196287,0.5217391304347826,0.7507620844825084,0.005856580380210189,0.5200422737223522,0.5200422737223522,13247.0,,,,,,,,,,1
LSTM,Industrials,5,0.5151958934098286,0.510682152997167,0.6526015046575802,0.5201301372596427,0.8776600377413267,-0.0006653643195099711,0.5200422737223522,0.5200422737223522,13247.0,0.0026369261921560766,0.004287284491692527,0.015867246352778464,0.0017473092255174795,0.05688771620075848,0.009814401393492577,0.0,0.0,0.0,5
LogisticRegression,Consumer Cyclical,1,0.5076370170709793,0.5078143585233458,0.5978115825994129,0.5131729667812142,0.7158836689038032,0.00638205387328716,0.5111492281303602,0.5111492281303602,12243.0,,,,,,,,,,1
