model,Sector,seed,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,train_major,n
LogisticRegression,Healthcare,0,0.5084361378733534,0.5012974613488791,0.6286512758201701,0.5133349208239076,0.8107879395724942,0.0006371159760538733,0.5131809627973558,0.5131809627973558,0.5143267321304498,62173
RandomForest,Healthcare,0,0.5039647435381919,0.5021462569706846,0.5532247783508142,0.5143580626043855,0.598445433460791,0.0028667999819934884,0.5131809627973558,0.5131809627973558,0.5143267321304498,62173
XGBoost,Healthcare,0,0.5011821851929295,0.4970680768155207,0.5655529873222666,0.5113098102788824,0.6326709709772457,-0.004937620298935196,0.5131809627973558,0.5131809627973558,0.5143267321304498,62173
LSTM,Healthcare,0,0.5072619947565663,0.4998421547340643,0.6230419963331651,0.512874014950469,0.7934871184103304,-0.0012055126005577372,0.5131809627973558,0.5131809627973558,0.5143267321304498,62173
LSTM,Healthcare,1,0.5071654898428578,0.5012777787128518,0.5992597533383032,0.5141959376052071,0.7180467623644455,0.0032292832430685743,0.5131809627973558,0.5131809627973558,0.5143267321304498,62173
LSTM,Healthcare,2,0.5109291814774902,0.49888359715666325,0.6429468888340907,0.5140737958877101,0.8580517770952172,0.004365135135926971,0.5131809627973558,0.5131809627973558,0.5143267321304498,62173
LSTM,Healthcare,3,0.5027584321168352,0.4981314532964023,0.608665932480158,0.5105217335909795,0.7535259825738105,-0.0094018698470999,0.5131809627973558,0.5131809627973558,0.5143267321304498,62173
LSTM,Healthcare,4,0.5050745500458398,0.5031106056906338,0.5954856774770274,0.5128501234064715,0.7098664827932051,-0.0010365030746483424,0.5131809627973558,0.5131809627973558,0.5143267321304498,62173
LogisticRegression,Industrials,0,0.5138943305327006,0.49980962799967404,0.6453293241998497,0.5199174300970708,0.8504772004241782,-0.0003416747800661491,0.5199889716018748,0.5199889716018748,0.5184423621972719,68913
RandomForest,Industrials,0,0.5052747667348686,0.49999605560499727,0.5682298856397462,0.5201845711503235,0.626053468772674,0.000506323178402309,0.5199889716018748,0.5199889716018748,0.5184423621972719,68913
XGBoost,Industrials,0,0.5050425899322334,0.4992563374920572,0.5924217620418942,0.5180239483417968,0.6917731763129988,-0.005928849453301838,0.5199889716018748,0.5199889716018748,0.5184423621972719,68913
LSTM,Industrials,0,0.5173044273214052,0.5054119714692288,0.6522611804553723,0.521479673709548,0.8705977563208126,0.00765504703565119,0.5199889716018748,0.5199889716018748,0.5184423621972719,68913
LSTM,Industrials,1,0.5168255626659701,0.5054362351297299,0.6415244657372019,0.5222344919458028,0.8314449963721605,0.009857050705522225,0.5199889716018748,0.5199889716018748,0.5184423621972719,68913
LSTM,Industrials,2,0.5179429135286521,0.5022644328382729,0.6649182973572726,0.5206457523773418,0.9197968409890048,0.004417279874594235,0.5199889716018748,0.5199889716018748,0.5184423621972719,68913
LSTM,Industrials,3,0.5174205157227229,0.5036268891321534,0.6553353784926623,0.5212516899132786,0.8822905620360552,0.006849356869690789,0.5199889716018748,0.5199889716018748,0.5184423621972719,68913
LSTM,Industrials,4,0.5143006399373122,0.5015229840170988,0.6396511815686063,0.5207095405864928,0.8290171345649383,0.0031630463902995796,0.5199889716018748,0.5199889716018748,0.5184423621972719,68913
LogisticRegression,Consumer Cyclical,0,0.508867556134071,0.5048984232489548,0.6085106934879317,0.512608163622061,0.7485561121924759,0.0092199951588707,0.5099088838268793,0.5099088838268793,0.5110620198514567,61460
RandomForest,Consumer Cyclical,0,0.5013179303612105,0.4990876995232157,0.5480898246855693,0.5094567183816676,0.5930629566993203,-0.0010931333764494786,0.5099088838268793,0.5099088838268793,0.5110620198514567,61460
XGBoost,Consumer Cyclical,0,0.5043280182232346,0.5005172798165305,0.5734408692486488,0.5109159410164924,0.6534031079485625,0.002758124472726676,0.5099088838268793,0.5099088838268793,0.5110620198514567,61460
LSTM,Consumer Cyclical,0,0.5111129189716889,0.5078377231828011,0.6327894897647418,0.5127956265103197,0.8260952806407352,0.01238586588055867,0.5099088838268793,0.5099088838268793,0.5110620198514567,61460
LSTM,Consumer Cyclical,1,0.5092905955092744,0.5053744116795869,0.6207416908741087,0.5122452368104271,0.787549060276333,0.00890286592658024,0.5099088838268793,0.5099088838268793,0.5110620198514567,61460
LSTM,Consumer Cyclical,2,0.510380735437683,0.5043998835931979,0.6271404852179516,0.5126298944639132,0.8075241711605348,0.010997573594044702,0.5099088838268793,0.5099088838268793,0.5110620198514567,61460
LSTM,Consumer Cyclical,3,0.5070777741620566,0.5042522526533983,0.6134806517051762,0.5110969387755102,0.7671591307954945,0.004292426324565024,0.5099088838268793,0.5099088838268793,0.5110620198514567,61460
LSTM,Consumer Cyclical,4,0.5095183859420761,0.5087994430208107,0.6126566013491809,0.512842576259519,0.7607134879862153,0.010340036000244704,0.5099088838268793,0.5099088838268793,0.5110620198514567,61460
LogisticRegression,Technology,0,0.5168310419730433,0.5047166658049578,0.6530113944655453,0.521366463471238,0.8735936122777,0.004875688214189364,0.5204333571688771,0.5204333571688771,0.5275876273231968,74119
RandomForest,Technology,0,0.503433667480673,0.498102845773823,0.5861863482533365,0.5175611015148808,0.6757919842380878,-0.008372188473362793,0.5204333571688771,0.5204333571688771,0.5275876273231968,74119
XGBoost,Technology,0,0.5105168715174246,0.4985617467382316,0.6194432206767785,0.5202078928823115,0.7654637838958884,-0.0008160740259923531,0.5204333571688771,0.5204333571688771,0.5275876273231968,74119
LSTM,Technology,0,0.5175596001025378,0.49800578009324,0.6590839752879262,0.5212323189673372,0.8960698916368538,0.004661601310244033,0.5204333571688771,0.5204333571688771,0.5275876273231968,74119
LSTM,Technology,1,0.5156842375099502,0.4994050919937785,0.6496452239432359,0.5209517101040932,0.8627832218592835,0.002592359687069276,0.5204333571688771,0.5204333571688771,0.5275876273231968,74119
LSTM,Technology,2,0.5112049541952806,0.49757883091211397,0.6416766395996321,0.5187500999472279,0.8409550474412817,-0.007827648408345742,0.5204333571688771,0.5204333571688771,0.5275876273231968,74119
LSTM,Technology,3,0.5197317826738084,0.4984688090913714,0.6631081835647293,0.5221869456989968,0.9082024161352206,0.010843479102571687,0.5204333571688771,0.5204333571688771,0.5275876273231968,74119
LSTM,Technology,4,0.5142406130681741,0.5008610534991493,0.6382888946934839,0.5210780132537235,0.8235339866231141,0.0027778727095739693,0.5204333571688771,0.5204333571688771,0.5275876273231968,74119
