model,Sector,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
LogisticRegression,Healthcare,0.5084361378733534,0.5012974613488791,0.6286512758201701,0.5133349208239076,0.8107879395724942,0.0006371159760538733,0.5131809627973558,0.5131809627973558,62173.0,,,,,,,,,,1
RandomForest,Healthcare,0.5039647435381919,0.5021462569706846,0.5532247783508142,0.5143580626043855,0.598445433460791,0.0028667999819934884,0.5131809627973558,0.5131809627973558,62173.0,,,,,,,,,,1
XGBoost,Healthcare,0.5011821851929295,0.4970680768155207,0.5655529873222666,0.5113098102788824,0.6326709709772457,-0.004937620298935196,0.5131809627973558,0.5131809627973558,62173.0,,,,,,,,,,1
LSTM,Healthcare,0.5066379296479179,0.5002491179181231,0.613880049692549,0.5129031210881674,0.7665956246474017,-0.000809893428662087,0.5131809627973558,0.5131809627973558,62173.0,0.003023957512837927,0.0019850078549016816,0.019417230858952566,0.0014761873497539512,0.060896189055175055,0.0054112335484985015,0.0,0.0,0.0,5
LogisticRegression,Industrials,0.5138943305327006,0.49980962799967404,0.6453293241998497,0.5199174300970708,0.8504772004241782,-0.0003416747800661491,0.5199889716018748,0.5199889716018748,68913.0,,,,,,,,,,1
RandomForest,Industrials,0.5052747667348686,0.49999605560499727,0.5682298856397462,0.5201845711503235,0.626053468772674,0.000506323178402309,0.5199889716018748,0.5199889716018748,68913.0,,,,,,,,,,1
XGBoost,Industrials,0.5050425899322334,0.4992563374920572,0.5924217620418942,0.5180239483417968,0.6917731763129988,-0.005928849453301838,0.5199889716018748,0.5199889716018748,68913.0,,,,,,,,,,1
LSTM,Industrials,0.5167588118352124,0.5036525025172968,0.650738100722223,0.5212642297064928,0.8666294580565943,0.006388356175151604,0.5199889716018748,0.5199889716018748,68913.0,0.0014304465969548809,0.0017846341044790537,0.0103964363766727,0.0006477222407053746,0.03788278434630705,0.0026521988100603896,0.0,0.0,0.0,5
LogisticRegression,Consumer Cyclical,0.508867556134071,0.5048984232489548,0.6085106934879317,0.512608163622061,0.7485561121924759,0.0092199951588707,0.5099088838268793,0.5099088838268793,61460.0,,,,,,,,,,1
RandomForest,Consumer Cyclical,0.5013179303612105,0.4990876995232157,0.5480898246855693,0.5094567183816676,0.5930629566993203,-0.0010931333764494786,0.5099088838268793,0.5099088838268793,61460.0,,,,,,,,,,1
XGBoost,Consumer Cyclical,0.5043280182232346,0.5005172798165305,0.5734408692486488,0.5109159410164924,0.6534031079485625,0.002758124472726676,0.5099088838268793,0.5099088838268793,61460.0,,,,,,,,,,1
