sector,ticker,model,acc,auc
Healthcare,A,LR,0.48739495798319327,0.46813787041687593
Healthcare,A,RF,0.4957983193277311,0.48927988448016074
Industrials,AAL,LR,0.46407185628742514,0.5056098964326813
Industrials,AAL,RF,0.5329341317365269,0.5442138952819332
Consumer Cyclical,AAP,LR,0.5136612021857924,0.5428398058252426
Consumer Cyclical,AAP,RF,0.453551912568306,0.5095266990291263
Technology,AAPL,LR,0.5033557046979866,0.43094967070493534
Technology,AAPL,RF,0.5055928411633109,0.5089539799983739
Healthcare,ABBV,LR,0.5146067415730337,0.5404853387259859
Healthcare,ABBV,RF,0.5213483146067416,0.5418200202224468
Consumer Cyclical,ABNB,LR,0.4695121951219512,0.49767790262172285
Consumer Cyclical,ABNB,RF,0.49390243902439024,0.45670411985018733
Healthcare,ABT,LR,0.5179856115107914,0.5432789754929058
Healthcare,ABT,RF,0.5203836930455635,0.5383499170812603
Financial Services,ACGL,LR,0.4888888888888889,0.4802197802197803
Financial Services,ACGL,RF,0.5333333333333333,0.5173626373626373
Technology,ACN,LR,0.4765258215962441,0.49656145300652443
Technology,ACN,RF,0.5469483568075117,0.5771358666901781
Technology,ADBE,LR,0.5230414746543779,0.5369071902090771
Technology,ADBE,RF,0.5046082949308756,0.49099099099099097
Technology,ADI,LR,0.5335051546391752,0.5580178025773881
Technology,ADI,RF,0.5025773195876289,0.5098711305965191
Consumer Defensive,ADM,LR,0.49222797927461137,0.4486084246722545
Consumer Defensive,ADM,RF,0.4792746113989637,0.4635315925209542
Technology,ADP,LR,0.47076023391812866,0.41749700393768197
Technology,ADP,RF,0.5146198830409356,0.5118472864235576
Technology,ADSK,LR,0.47214854111405835,0.44359264497878365
Technology,ADSK,RF,0.519893899204244,0.5153748231966054
Utilities,AEE,LR,0.5117647058823529,0.4825740991695333
Utilities,AEE,RF,0.5147058823529411,0.5349560443378852
Utilities,AEP,LR,0.5,0.4992783968580689
Utilities,AEP,RF,0.5145631067961165,0.5125156741666075
Utilities,AES,LR,0.47733333333333333,0.4918359219434488
Utilities,AES,RF,0.5146666666666667,0.5189167662285942
Financial Services,AFL,LR,0.5488505747126436,0.4918265813788202
Financial Services,AFL,RF,0.5028735632183908,0.4852269265915321
Financial Services,AIG,LR,0.5311653116531165,0.5018284770555621
Financial Services,AIG,RF,0.5149051490514905,0.5340627580511973
Financial Services,AIZ,LR,0.5322033898305085,0.49929696287964
Financial Services,AIZ,RF,0.4576271186440678,0.46241094863142107
Financial Services,AJG,LR,0.5206611570247934,0.5320786997433704
Financial Services,AJG,RF,0.4820936639118457,0.43663693022119027
Technology,AKAM,LR,0.4879356568364611,0.44508537148131055
Technology,AKAM,RF,0.4959785522788204,0.494765228426396
Basic Materials,ALB,LR,0.5224274406332454,0.5436054611312343
Basic Materials,ALB,RF,0.554089709762533,0.5672471440512679
Healthcare,ALGN,LR,0.5446428571428571,0.5212121212121212
Healthcare,ALGN,RF,0.46726190476190477,0.4893850788587631
Industrials,ALK,LR,0.46443514644351463,0.4248948106591865
Industrials,ALK,RF,0.502092050209205,0.4580995792426367
Financial Services,ALL,LR,0.520891364902507,0.5439577508543025
