Sector,volatility,sampen,hurst,amihud,vol_var,n_tickers,SCI,band,SCI_hurst_plus
Energy,0.4880272158850546,1.7425792777740097,0.5441285095948116,8.314696077247417e-05,0.5386188560058655,20,-0.4623849234805631,low,-0.5203345167879773
Industrials,0.38436224589534973,1.8104549666864207,0.5664766375798482,9.950282822385125e-05,0.5703973127586998,73,-0.40778498817161263,low,0.17522895787341175
Consumer Defensive,0.30343160807838715,1.8120729198866146,0.5356393923187123,7.586666580822275e-05,0.6137777727766613,37,-0.29564914709662193,low,-0.5970739280756743
Utilities,0.32801164191622745,1.7949865660057365,0.5167412306174504,9.422600265315215e-05,0.53058763039018,31,-0.23470261950404786,low,-1.078142938402246
Financial Services,0.3854694203062942,1.750237590910269,0.5433478014288282,0.00010489118831255595,0.6525750865809323,70,-0.09412430739108864,medium,-0.17446528263461542
Healthcare,0.3695361840567342,1.8229676534633914,0.5475007825361583,7.87081555869966e-05,0.6360086145908783,62,-0.018757708064964528,medium,0.020012388151293227
Real Estate,0.3751479932516942,1.7882913387063666,0.5388271913551561,0.00013943301423425758,0.5518738777688735,32,0.09353560855797353,medium,-0.11646035321477122
Technology,0.44736788782357645,1.83859532665539,0.5489665522284282,8.167718116998476e-05,0.6016098359734456,80,0.24439686871327843,high,0.325206500879119
Basic Materials,0.4129534952301197,1.8249985356368825,0.5639425341425196,0.00010463064313931698,0.6683802551686614,22,0.30424914328358343,high,0.814582822356677
Communication Services,0.3695946233486525,1.7974111883101849,0.5385551814275008,0.00013786473532288263,0.6185514506367527,21,0.4101681958539799,high,0.19237075531372136
Consumer Cyclical,0.46245524693628287,1.8090378996472631,0.5635132596489203,0.00011775134615626728,0.657432924494635,65,0.46105387730010217,high,0.9590755945410742
