Sector,SCI,SCI_hurst_plus,band
Energy,-0.4283276212269606,-0.5543918190415813,low
Industrials,-0.3768690179329363,0.1443129876347338,low
Consumer Defensive,-0.27727969099561606,-0.6154433841766818,low
Utilities,-0.23843781548943932,-1.0744077424168563,low
Financial Services,-0.06835867823921316,-0.20023091178649244,medium
Healthcare,-0.013911534405294423,0.015166214491621522,medium
Real Estate,0.05430805997684005,-0.07723280463363932,medium
Technology,0.18928205122920944,0.3803213183631864,high
Basic Materials,0.2971265566924799,0.821705408947779,high
Communication Services,0.4097762586299636,0.1927626925377361,high
Consumer Cyclical,0.45269143176096965,0.9674380400802051,high
